experiment,model,time_ms,a_audio,b_visual,R2
Exp1,self,466.80,0.29997,0.25693,0.26060
Exp1,self,468.75,0.26353,0.26169,0.22011
Exp1,self,470.70,0.23928,0.27559,0.19547
Exp1,self,472.66,0.22595,0.29761,0.18923
Exp1,self,474.61,0.21546,0.31958,0.19634
Exp1,self,476.56,0.20109,0.33220,0.20932
Exp1,self,478.52,0.18203,0.33561,0.22435
Exp1,self,480.47,0.16071,0.33699,0.24174
Exp1,self,482.42,0.14024,0.34145,0.26210
Exp1,self,484.38,0.12324,0.34830,0.28270
Exp1,self,486.33,0.11092,0.35293,0.29714
Exp1,self,488.28,0.10376,0.35060,0.29935
Exp1,self,490.23,0.10440,0.33978,0.28882
Exp1,self,492.19,0.12024,0.32357,0.27232
Exp1,self,494.14,0.15740,0.30771,0.25874
Exp1,self,496.09,0.21075,0.29575,0.24962
Exp1,self,498.05,0.26923,0.28722,0.23764
